X,Y,OBJECTID,created_date,created_user,src_geo,clc_quartier,clc_secteur,id_arbre,haut_tot,haut_tronc,tronc_diam,fk_arb_etat,fk_stadedev,fk_port,fk_pied,fk_situation,fk_revetement,commentaire_environnement,dte_plantation,age_estim,fk_prec_estim,clc_nbr_diag,dte_abattage,fk_nomtech,last_edited_user,last_edited_date,villeca,nomfrancais,nomlatin,GlobalID,CreationDate,Creator,EditDate,Editor,feuillage,remarquable
1719932.8588,8296410.826,3117,2017/02/02 15:28:02+00,mickael.delaere,Orthophoto,Quartier Saint-Jean,Stade Paul Debrésie,74,5.0,1.0,45.0,EN PLACE,jeune,semi libre,gazon,Alignement,Non,RAS,,15.0,5.0,0.0,,PINNIGnig,mickael.delaere,2017/02/02 15:28:02+00,VILLE,PINNIGnig,PINNIGnig,{769E7F9E-269F-491C-B272-04B7EF933988},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1721980.5866,8293050.685,3738,2017/02/02 15:28:02+00,mickael.delaere,Orthophoto,Quartier du faubourg d'Isle,Place Stalingrad,17,9.0,3.0,45.0,EN PLACE,adulte,semi libre,fosse arbre,Alignement,Non,RAS,,25.0,10.0,0.0,,LIQSTY,mickael.delaere,2017/02/02 15:28:02+00,VILLE,LIQSTY,LIQSTY,{4436E559-7E31-45CE-B175-6F08BAD49162},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1718904.861,8295328.2069,8468,2017/02/02 15:28:18+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Avenue Archimède,194,7.0,0.0,110.0,EN PLACE,jeune,rideau,gazon,Alignement,Non,RAS,,15.0,2.0,,,FAGSYLfas,mickael.delaere,2017/02/02 15:28:18+00,CASQ,FAGSYLfas,FAGSYLfas,{BE2590FA-4115-4598-9E22-A50F6A4B9739},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1720837.4379,8294854.3119,551,2017/02/02 15:27:50+00,mickael.delaere,Orthophoto,Quartier Remicourt,Jardin d'horticulture,25,27.0,6.0,565.0,EN PLACE,adulte,semi libre,gazon,Isolé,Non,RAS,,200.0,50.0,1.0,,SEQGIG,mickael.delaere,2017/05/12 09:27:23+00,VILLE,SEQGIG,SEQGIG,{2C112615-02D4-428B-B305-F3B84646B969},2018/01/15 10:59:36+00,mickael.delaere,2018/01/17 14:35:32+00,mickael.delaere,Conifère,Oui
1720125.3096,8296475.4207,3281,2017/02/02 15:28:02+00,mickael.delaere,Orthophoto,Quartier Saint-Jean,Stade Paul Debrésie,237,11.0,2.0,110.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,50.0,10.0,0.0,,PINNIGnig,mickael.delaere,2017/02/02 15:28:02+00,VILLE,PINNIGnig,PINNIGnig,{5E58C377-4ADD-411A-820E-77E10D0CB519},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1719636.6519,8294247.2695,2377,2017/02/02 15:27:57+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue Alexandre Dumas,66,13.0,3.0,145.0,EN PLACE,adulte,semi libre,gazon,Alignement,Non,RAS,,50.0,10.0,0.0,,ACEPSE,mickael.delaere,2017/02/02 15:27:57+00,VILLE,ACEPSE,ACEPSE,{7C2CC1D7-752D-495E-821D-589172FB6560},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1717867.1222,8294528.1328,7503,2017/02/02 15:28:16+00,mickael.delaere,Orthophoto,Quartier Saint-Martin - Oëstres,Rue André Missenard,41,6.0,2.5,36.0,EN PLACE,jeune,semi libre,Bande de terre,Alignement,Non,Toile de paillage et/ou arbuste,2008/01/01 00:00:00+00,,,,,LIRTUL,mickael.delaere,2017/02/02 15:28:16+00,CASQ,LIRTUL,LIRTUL,{DACD4F44-9C78-4B99-8D0A-4CD9B114F89E},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1722478.2357,8294237.7592,6678,2017/02/02 15:28:13+00,mickael.delaere,Orthophoto,Quartier du faubourg d'Isle,Parc d'Isle Jacques Braconnier,252,15.0,2.0,165.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,45.0,10.0,0.0,,PINNIGnig,thibaut.delaire,2017/02/21 10:21:35+00,CASQ,PINNIGnig,PINNIGnig,{4E9A8243-1302-4EF9-94F5-6EF6CACC60F9},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1719112.7464,8294879.4833,9209,2017/02/02 15:28:21+00,mickael.delaere,Orthophoto,Quartier du Vermandois,Serpentine Sud,141,11.0,3.0,66.0,EN PLACE,jeune,semi libre,gazon,Groupe,Non,RAS,,15.0,2.0,,,BETPEN,mickael.delaere,2017/02/02 15:28:21+00,CASQ,BETPEN,BETPEN,{7FDE07D1-05EE-4473-9D0D-DF4F5F92101B},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1722274.173,8295453.8698,5644,2017/02/02 15:28:08+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Avenue de la Résistance,57,13.0,2.0,110.0,EN PLACE,adulte,semi libre,Bande de terre,Groupe,Oui,RAS,,20.0,10.0,0.0,,PINNIGnig,mickael.delaere,2017/02/02 15:28:08+00,VILLE,PINNIGnig,PINNIGnig,{40056A52-35BC-419D-975E-2B8FCFE8070B},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
